rank,lemma,gloss,kind,ref_count,ref_coverage
1031,ἐνδείκνυμι,"to mark, point out",L,11,91.1947
1032,ἐξουθενέω,,L,11,91.2027
1033,ἐπαισχύνομαι,to be ashamed at,L,11,91.2107
1034,ἐπιπίπτω,to fall upon,L,11,91.2187
1035,ἐπισκέπτομαι,,L,11,91.2267
1036,ἔλαιον,olive-oil,L,11,91.2347
1037,ἔπαινος,"approval, praise, commendation",L,11,91.2427
1038,ὁμοθυμαδόν,with one accord,L,11,91.2507
1039,ὑγιής,"sound, healthy, hearty, sound in",L,11,91.2587
1040,ὑμέτερος,"your, yours",L,11,91.2667
1041,ὑποκάτω,"below, under",F,11,91.2747
1042,ὑψηλός,"high, lofty, high-raised",L,11,91.2827
1043,βίβλος,the inner bark of the papyrus,L,10,91.2900
1044,βίος,life,L,10,91.2972
1045,δάκρυον,a tear,L,10,91.3045
1046,δεσπότης,"a master, lord, the master of the house",L,10,91.3118
1047,δικαίωμα,an act by which wrong is set right,L,10,91.3190
1048,διωγμός,the chase,L,10,91.3263
1049,θλίβω,"to press, squeeze, pinch",L,10,91.3336
1050,κλητός,"called, invited, welcome",L,10,91.3409
1051,κοινωνός,"a companion, partner",L,10,91.3481
1052,κομίζω,"to take care of, provide for",L,10,91.3554
1053,κοσμέω,"to order, arrange",L,10,91.3627
1054,κἀκεῖ,,F,10,91.3699
1055,κἀκεῖθεν,,F,10,91.3772
1056,μέλει,,L,10,91.3845
1057,μακροθυμέω,to be long-suffering,L,10,91.3917
1058,νεανίσκος,a youth,L,10,91.3990
1059,ξενίζω,"to receive a guest; to surprise, to make strange",L,10,91.4063
1060,οἰκονόμος,one who manages a household,L,10,91.4136
1061,παντοκράτωρ,almighty,L,10,91.4208
1062,παράγω,to lead by,L,10,91.4281
1063,παραλυτικός,paralytic,L,10,91.4354
1064,παρεμβολή,"insertion, interpolation",L,10,91.4426
1065,πατάσσω,"to beat, knock",L,10,91.4499
1066,πενθέω,"to bewail, lament, mourn for",L,10,91.4572
1067,περιστερά,the common pigeon,L,10,91.4644
1068,πλάνη,"a wandering, roaming",L,10,91.4717
1069,πλεονεξία,"greediness, assumption, arrogance",L,10,91.4790
1070,ποικίλος,"many-coloured, spotted, mottled, pied, dappled",L,10,91.4863
1071,προσκαρτερέω,to persist obstinately in,L,10,91.4935
1072,πόρνος,catamite,L,10,91.5008
1073,πύλη,one wing of a pair of double gates,L,10,91.5081
1074,σέβομαι,to feel awe,L,10,91.5153
1075,σιωπάω,to be silent,L,10,91.5226
1076,στρατηγός,the leader,L,10,91.5299
1077,συζητέω,,L,10,91.5371
1078,σφάζω,"to slay, slaughter",L,10,91.5444
1079,σύνδουλος,a fellow-slave,L,10,91.5517
1080,τέταρτος,fourth,L,10,91.5590
1081,ταχέως,,L,10,91.5662
1082,φείδομαι,to spare,L,10,91.5735
1083,χρηστότης,"goodness, honesty",L,10,91.5808
1084,χρυσός,gold,L,10,91.5880
1085,χωρέω,"give way, draw back, retire, withdraw",L,10,91.5953
1086,χωρίον,"a particular place, a place, spot, district",L,10,91.6026
1087,ψεύστης,"a liar, cheat",L,10,91.6098
1088,ψεῦδος,"a falsehood, untruth, lie",L,10,91.6171
1089,ἀγαθοποιέω,to do good,L,10,91.6244
1090,ἀδύνατος,"unable, impossible",L,10,91.6317
1091,ἀκαθαρσία,"uncleanness, impurity",L,10,91.6389
1092,ἀναστρέφω,"to turn upside down, upset",L,10,91.6462
1093,ἀναφέρω,"to bring up, bring back",L,10,91.6535
1094,ἀπολαμβάνω,"to take away, receive one’s due, cut off",L,10,91.6607
1095,ἀπολογέομαι,"to speak in defence, defend oneself",L,10,91.6680
1096,ἀπολύτρωσις,a ransoming,L,10,91.6753
1097,ἀσέλγεια,licentiousness,L,10,91.6825
1098,ἀσεβής,"ungodly, godless, unholy, profane",L,10,91.6898
1099,ἀσπασμός,"a greeting, embrace, salutation",L,10,91.6971
1100,ἀφαιρέω,"to take from, take away from",L,10,91.7043
1101,ἀφορίζω,to mark off by boundaries,L,10,91.7116
1102,ἁγιασμός,"consecration, sanctification",L,10,91.7189
1103,ἅμα,"at once, at the same time",L,10,91.7262
1104,Ἀπολλῶς,,L,10,91.7334
1105,Ἀχαΐα,,L,10,91.7407
1106,ἐγκαταλείπω,to leave behind,L,10,91.7480
1107,ἐκκόπτω,"to cut out, knock out",L,10,91.7552
1108,ἐκπίπτω,to fall out of,L,10,91.7625
1109,ἐμφανίζω,"to make manifest, exhibit",L,10,91.7698
1110,ἐντεῦθεν,hence,L,10,91.7770
1111,ἐξομολογέω,,L,10,91.7843
1112,ἐπειδή,,F,10,91.7916
1113,ἐπιτάσσω,"to put upon one as a duty, to enjoin",L,10,91.7989
1114,ἐπιτελέω,"to complete, finish, accomplish",L,10,91.8061
1115,ἔνατος,ninth,L,10,91.8134
1116,ἔνοχος,held in,L,10,91.8207
1117,ἰσχύς,strength,L,10,91.8279
1118,Ἰόππη,,L,10,91.8352
1119,ὀνειδίζω,to throw a reproach upon,L,10,91.8425
1120,ὄντως,"really, actually > εἰμί",L,10,91.8497
1121,ὅδε,this,F,10,91.8570
1122,ὅρκος,"the object by which one swears, the witness of an oath",L,10,91.8643
1123,ὑπαντάω,to come,L,10,91.8716
1124,ὑπόδημα,"sandal, shoe",L,10,91.8788
1125,ᾅδης,Hades [> ᾍδης],L,10,91.8861
1126,Καϊάφας,,L,9,91.8926
1127,Κηφᾶς,,L,9,91.8992
1128,Σαμαρίτης,,L,9,91.9057
1129,Σαούλ,,L,9,91.9123
1130,Σιδών,,L,9,91.9188
1131,Σολομών,,L,9,91.9254
1132,Σόδομα,,L,9,91.9319
1133,Φῆλιξ,,L,9,91.9384
1134,αἵρεσις,a taking especially,L,9,91.9450
1135,βόσκω,"to feed, tend",L,9,91.9515
1136,γαστήρ,"the paunch, belly",L,9,91.9581
1137,γεμίζω,"to fill full of, to load",L,9,91.9646
1138,γνώμη,"a means of knowing, a mark, token",L,9,91.9712
1139,γωνία,"a corner, angle",L,9,91.9777
1140,δεῦρο,hither,L,9,91.9842
1141,διασκορπίζω,to scatter abroad,L,9,91.9908
1142,διατρίβω,"to rub between, rub hard, rub away, consume, waste",L,9,91.9973
1143,δωρεάν,,L,9,92.0039
1144,εἰδωλόθυτον,,L,9,92.0104
1145,εὐάρεστος,"well-pleasing, acceptable",L,9,92.0170
1146,εὐδοκία,"satisfaction, approval",L,9,92.0235
1147,εὐώνυμος,"of good name, left",L,9,92.0300
1148,θνῄσκω,to die; see also ἀποθνῄσκω,L,9,92.0366
1149,κίνδυνος,"a danger, risk, hazard, venture, enterprise",L,9,92.0431
1150,καθαιρέω,to take down,L,9,92.0497
1151,κατάγω,to lead down,L,9,92.0562
1152,κατάπαυσις,"a putting to rest: a putting down, deposing",L,9,92.0628
1153,καταφρονέω,to think down upon,L,9,92.0693
1154,κλάσμα,"that which is broken off, a fragment, morsel",L,9,92.0758
1155,κλίνη,"that on which one lies, a couch",L,9,92.0824
1156,κλαυθμός,a weeping,L,9,92.0889
1157,κραυγάζω,to bay,L,9,92.0955
1158,κρούω,"to strike, smite: to strike",L,9,92.1020
1159,λέων,a lion,L,9,92.1086
1160,λαμπάς,a torch,L,9,92.1151
1161,λαμπρός,"bright, brilliant, radiant",L,9,92.1216
1162,λεπρός,"scaly, scabby, rough, leprous",L,9,92.1282
1163,μαργαρίτης,a pearl,L,9,92.1347
1164,μεστός,"full, filled, filled full",L,9,92.1413
1165,μεταξύ,"betwixt, between",F,9,92.1478
1166,μεταπέμπομαι,,L,9,92.1544
1167,μνᾶ,"a weight, 1 mina=100 drachmae",L,9,92.1609
1168,μονογενής,"only, single (child)",L,9,92.1674
1169,νομικός,"resting on law, conventional",L,9,92.1740
1170,νῆσος,an island,L,9,92.1805
1171,οἰκέω,"to inhabit, occupy",L,9,92.1871
1172,οἰκονομία,the management of a household,L,9,92.1936
1173,οὐράνιος,"heavenly, of or in heaven, dwelling in heaven",L,9,92.2002
1174,παρρησιάζομαι,"to speak freely, openly, boldly",L,9,92.2067
1175,περίχωρος,round about a place,L,9,92.2132
1176,πιπράσκω,to sell,L,9,92.2198
1177,πλεονάζω,to be more,L,9,92.2263
1178,προπέμπω,"to send before, send on",L,9,92.2329
1179,προσφορά,"a bringing to, applying, application",L,9,92.2394
1180,σελήνη,the moon,L,9,92.2460
1181,σιγάω,to be silent,L,9,92.2525
1182,στάσις,"a standing, the posture of standing",L,9,92.2590
1183,στήκω,to stand,L,9,92.2656
1184,στολή,"an equipment, armament",L,9,92.2721
1185,τάξις,an arranging,L,9,92.2787
1186,ταχύ,,L,9,92.2852
1187,τεῖχος,a wall,L,9,92.2918
1188,τρέφω,"to nourish, rear, maintain",L,9,92.2983
1189,φθείρω,"to ruin, waste, spoil, destroy",L,9,92.3048
1190,φθορά,"destruction, ruin, perdition",L,9,92.3114
1191,φθόνος,"ill-will, envy, jealousy",L,9,92.3179
1192,φόνος,"murder, homicide, slaughter",L,9,92.3245
1193,χάριν,"for the sake of, because of (postposition + gen.)",F,9,92.3310
1194,χρηματίζω,"to negotiate, transact business, have dealings",L,9,92.3376
1195,ἀλείφω,"to anoint with oil, oil",L,9,92.3441
1196,ἀναγκάζω,"to force, compel",L,9,92.3506
1197,ἀνατέλλω,to make to rise up,L,9,92.3572
1198,ἀπαρχή,"the beginning of a sacrifice, the primal offering",L,9,92.3637
1199,ἀποδοκιμάζω,"to reject on scrutiny, to reject for want of qualification",L,9,92.3703
